label,review
5,"영화가 너무 재미있어서 하나도 안 지루해요."
0.5,"영화가 하나도 안 재미있어서 너무 지루해요."
3,"기대 안 했는데 생각보다 너무 괜찮네요."
0.5,"기대 많이 했는데 생각보다 너무 별로네요."
3,"배우 연기는 별로지만 스토리가 살렸습니다."
3,"스토리는 별로지만 배우 연기가 살렸습니다."
5,"지루할 틈 없이 전개가 빨라서 좋았습니다."
0.5,"전개가 빨라서 지루할 틈이 없어야 하는데 아쉽네요."
3,"처음엔 별로였는데 끝으로 갈수록 대박이네요."
3,"처음엔 대박이었는데 끝으로 갈수록 별로네요."
3,"결말이 허무하긴 해도 과정이 즐거웠습니다."
3,"과정은 즐거웠으나 결말이 너무 허무합니다."
5,"악역이 너무 매력적이라 주인공보다 낫네요."
3.5,"주인공이 너무 매력 없어서 악역보다 못하네요."
5,"촌스러울 줄 알았는데 세련된 연출이었어요."
0.5,"세련된 연출인 줄 알았는데 너무 촌스러워요."
5,"돈이 아깝지 않은 최고의 선택이었습니다."
0.5,"최고의 선택인 줄 알았는데 돈만 아깝네요."
5,"원작을 안 봐도 충분히 이해되고 재밌습니다."
0.5,"원작을 봐도 도저히 이해 안 되고 재미없음."
5,"자극적이지 않으면서도 몰입감이 엄청나요."
0.5,"몰입감은커녕 너무 자극적이기만 합니다."
5,"억지스럽지 않은 자연스러운 감동이네요."
0.5,"자연스럽지 않고 너무 억지스러운 감동 유발."
5,"설명이 필요 없는 완벽한 영화입니다."
0.5,"완벽한 영화라는 설명이 이해가 안 되네요."
3,"뻔한 이야기 같지만 연출이 다릅니다."
3,"연출은 좋은 것 같지만 이야기가 너무 뻔함."
5,"다시 봐도 질리지 않는 명작입니다."
0.5,"다시 보라면 절대 안 볼 최악의 영화."