id,sentence,label
1,오늘 날씨가 정말 화창해서 기분이 최고예요,1
2,아침부터 일이 꼬여서 너무 짜증나요,0
3,드디어 원하던 자격증 시험에 합격했습니다,1
4,밤새 공부했는데 결과가 안 좋아서 우울해요,0
5,맛있는 음식을 먹으니 스트레스가 다 풀리네요,1
6,몸이 으슬으슬 떨리고 감기 기운이 있어요,0
7,친구들과 오랜만에 수다 떨어서 즐거웠어요,1
8,상사한테 혼나서 퇴사하고 싶은 마음뿐입니다,0
9,산책하며 좋아하는 노래를 들으니 행복해요,1
10,길이 너무 막혀서 약속 시간에 늦을 것 같아요,0
11,월급날이라 사고 싶었던 옷을 샀어요,1
12,지갑을 잃어버려서 하루 종일 막막합니다,0
13,부모님께 칭찬을 들어서 어깨가 으쓱해요,1
14,노트북이 갑자기 고장 나서 작업이 다 날아갔어요,0
15,주말에 푹 쉬었더니 에너지가 넘치네요,1
16,층간소음 때문에 잠을 한숨도 못 잤어요,0
17,여행 계획을 세우는 것만으로도 설레요,1
18,비가 계속 오니까 기분이 축 처지네요,0
19,오늘 점심 메뉴가 제가 제일 좋아하는 거예요,1
20,프로젝트 마감이 내일인데 아직 갈 길이 멀어요,0
21,새로 산 신발이 발에 딱 맞아서 기뻐요,1
22,믿었던 친구에게 실망해서 마음이 아파요,0
23,창밖의 풍경이 너무 아름다워서 힐링돼요,1
24,배달 음식이 한 시간 넘게 안 와서 화가 나요,0
25,좋아하는 연예인의 공연을 봐서 꿈만 같아요,1
26,시험 범위가 너무 많아서 막막하고 답답해요,0
27,오랜만에 가족들이 다 모여서 북적북적 즐겁네요,1
28,운동하다가 발목을 삐어서 너무 고통스러워요,0
29,직원들이 친절해서 쇼핑하는 내내 기분이 좋았어요,1
30,컴퓨터 바이러스 때문에 중요한 문서가 깨졌어요,0
31,선물 받은 꽃다발 향기가 너무 향긋해요,1
32,공들여 만든 요리를 태워버려서 속상합니다,0
33,아침 햇살을 받으며 일어나니 상쾌하네요,1
34,중요한 미팅인데 옷에 커피를 쏟았어요,0
35,보너스를 받아서 부모님 선물을 사드렸어요,1
36,사랑하는 사람과 헤어져서 눈물이 멈추지 않아요,0